speechID,session,nameOfHouse,nameOfMeeting,issue,date,year,speaker,speakerYomi,speakerGroup,speakerPosition,speakerRole,speechURL,meetingURL,pdfURL,keywords_matched,num_keywords,parties_canonical_str,has_joe_party
119804889X02320190626_000,198,衆議院,内閣委員会,第23号,2019-06-26,2019,会議録情報,,,,,https://kokkai.ndl.go.jp/txt/119804889X02320190626/0,https://kokkai.ndl.go.jp/txt/119804889X02320190626,https://kokkai.ndl.go.jp/img/119804889X02320190626/1,多文化共生,1,,False
119804889X02320190626_002,198,衆議院,内閣委員会,第23号,2019-06-26,2019,牧原秀樹,まきはらひでき,自由民主党,,,https://kokkai.ndl.go.jp/txt/119804889X02320190626/2,https://kokkai.ndl.go.jp/txt/119804889X02320190626,https://kokkai.ndl.go.jp/img/119804889X02320190626/2,多文化共生,1,自由民主党,True
119815254X02020190524_023,198,参議院,本会議,第20号,2019-05-24,2019,水落敏栄,みずおちとしえい,自由民主党・国民の声,,,https://kokkai.ndl.go.jp/txt/119815254X02020190524/23,https://kokkai.ndl.go.jp/txt/119815254X02020190524,https://kokkai.ndl.go.jp/img/119815254X02020190524/2,多文化共生,1,自由民主党;国民の声,True
119805124X01620190522_040,198,衆議院,文部科学委員会,第16号,2019-05-22,2019,稲津久,いなつひさし,公明党,,,https://kokkai.ndl.go.jp/txt/119805124X01620190522/40,https://kokkai.ndl.go.jp/txt/119805124X01620190522,https://kokkai.ndl.go.jp/img/119805124X01620190522/5,多文化共生,1,公明党,True
119814580X00520190515_002,198,参議院,政府開発援助等に関する特別委員会,第5号,2019-05-15,2019,松山政司,まつやままさじ,自由民主党・国民の声,,,https://kokkai.ndl.go.jp/txt/119814580X00520190515/2,https://kokkai.ndl.go.jp/txt/119814580X00520190515,https://kokkai.ndl.go.jp/img/119814580X00520190515/1,多文化共生,1,自由民主党;国民の声,True
119804601X01520190423_011,198,衆議院,総務委員会,第15号,2019-04-23,2019,務台俊介,むたいしゅんすけ,自由民主党,,,https://kokkai.ndl.go.jp/txt/119804601X01520190423/11,https://kokkai.ndl.go.jp/txt/119804601X01520190423,https://kokkai.ndl.go.jp/img/119804601X01520190423/2,多文化共生,1,自由民主党,True
119804601X01520190423_084,198,衆議院,総務委員会,第15号,2019-04-23,2019,宮地毅,,,総務省大臣官房総括審議官,,https://kokkai.ndl.go.jp/txt/119804601X01520190423/84,https://kokkai.ndl.go.jp/txt/119804601X01520190423,https://kokkai.ndl.go.jp/img/119804601X01520190423/11,多文化共生,1,,False
119804601X01520190423_088,198,衆議院,総務委員会,第15号,2019-04-23,2019,宮地毅,,,総務省大臣官房総括審議官,,https://kokkai.ndl.go.jp/txt/119804601X01520190423/88,https://kokkai.ndl.go.jp/txt/119804601X01520190423,https://kokkai.ndl.go.jp/img/119804601X01520190423/11,多文化共生,1,,False
119804601X01520190423_092,198,衆議院,総務委員会,第15号,2019-04-23,2019,宮地毅,,,総務省大臣官房総括審議官,,https://kokkai.ndl.go.jp/txt/119804601X01520190423/92,https://kokkai.ndl.go.jp/txt/119804601X01520190423,https://kokkai.ndl.go.jp/img/119804601X01520190423/12,多文化共生,1,,False
119815206X00920190423_076,198,参議院,法務委員会,第9号,2019-04-23,2019,伊藤孝江,いとうたかえ,公明党,,,https://kokkai.ndl.go.jp/txt/119815206X00920190423/76,https://kokkai.ndl.go.jp/txt/119815206X00920190423,https://kokkai.ndl.go.jp/img/119815206X00920190423/8,多文化共生,1,公明党,True
119814305X00320190417_087,198,参議院,国際経済・外交に関する調査会,第3号,2019-04-17,2019,牧山ひろえ,まきやまひろえ,立憲民主党・民友会・希望の会,,,https://kokkai.ndl.go.jp/txt/119814305X00320190417/87,https://kokkai.ndl.go.jp/txt/119814305X00320190417,https://kokkai.ndl.go.jp/img/119814305X00320190417/18,多文化共生,1,立憲民主党;民友会;希望の会,True
119815206X00720190416_207,198,参議院,法務委員会,第7号,2019-04-16,2019,石井苗子,いしいみつこ,日本維新の会・希望の党,,,https://kokkai.ndl.go.jp/txt/119815206X00720190416/207,https://kokkai.ndl.go.jp/txt/119815206X00720190416,https://kokkai.ndl.go.jp/img/119815206X00720190416/20,多文化共生,1,日本維新の会;希望の党,True
119815206X00720190416_211,198,参議院,法務委員会,第7号,2019-04-16,2019,石井苗子,いしいみつこ,日本維新の会・希望の党,,,https://kokkai.ndl.go.jp/txt/119815206X00720190416/211,https://kokkai.ndl.go.jp/txt/119815206X00720190416,https://kokkai.ndl.go.jp/img/119815206X00720190416/21,多文化共生,1,日本維新の会;希望の党,True
119804601X01220190411_228,198,衆議院,総務委員会,第12号,2019-04-11,2019,宮地毅,,,総務省大臣官房総括審議官,,https://kokkai.ndl.go.jp/txt/119804601X01220190411/228,https://kokkai.ndl.go.jp/txt/119804601X01220190411,https://kokkai.ndl.go.jp/img/119804601X01220190411/18,多文化共生,1,,False
119805206X00520190322_086,198,衆議院,法務委員会,第5号,2019-03-22,2019,山本和嘉子,やまもとわかこ,立憲民主党・無所属フォーラム,,,https://kokkai.ndl.go.jp/txt/119805206X00520190322/86,https://kokkai.ndl.go.jp/txt/119805206X00520190322,https://kokkai.ndl.go.jp/img/119805206X00520190322/12,多文化共生,1,立憲民主党;無所属フォーラム,True
119805206X00520190322_197,198,衆議院,法務委員会,第5号,2019-03-22,2019,山下貴司,やましたたかし,自由民主党,法務大臣,,https://kokkai.ndl.go.jp/txt/119805206X00520190322/197,https://kokkai.ndl.go.jp/txt/119805206X00520190322,https://kokkai.ndl.go.jp/img/119805206X00520190322/25,多文化共生,1,自由民主党,True
119814601X00620190320_278,198,参議院,総務委員会,第6号,2019-03-20,2019,川合靖洋,,,内閣官房まち・ひと・しごと創生本部事務局次長,,https://kokkai.ndl.go.jp/txt/119814601X00620190320/278,https://kokkai.ndl.go.jp/txt/119814601X00620190320,https://kokkai.ndl.go.jp/img/119814601X00620190320/31,多文化共生,1,,False
