period,period_date,pref_code,prefecture,status_code,residence_status,n_residents,is_unknown_pref
2016-12,2016-12-31,08,茨城県,19,興行,78,False
2016-12,2016-12-31,08,茨城県,20,技能,866,False
2016-12,2016-12-31,08,茨城県,23,技能実習１号イ,78,False
2016-12,2016-12-31,08,茨城県,24,技能実習１号ロ,5051,False
2016-12,2016-12-31,08,茨城県,25,技能実習２号イ,17,False
2016-12,2016-12-31,08,茨城県,26,技能実習２号ロ,6364,False
2016-12,2016-12-31,08,茨城県,29,文化活動,143,False
2016-12,2016-12-31,08,茨城県,31,留学,4382,False
2016-12,2016-12-31,08,茨城県,32,研修,62,False
2016-12,2016-12-31,08,茨城県,33,家族滞在,3229,False
2016-12,2016-12-31,08,茨城県,34,特定活動,1847,False
2016-12,2016-12-31,08,茨城県,35,永住者,18498,False
2016-12,2016-12-31,08,茨城県,36,日本人の配偶者等,4104,False
2016-12,2016-12-31,08,茨城県,37,永住者の配偶者等,769,False
2016-12,2016-12-31,08,茨城県,38,定住者,6223,False
2016-12,2016-12-31,08,茨城県,39,特別永住者,2372,False
2016-12,2016-12-31,09,栃木県,03,教授,18,False
2016-12,2016-12-31,09,栃木県,04,芸術,5,False
2016-12,2016-12-31,09,栃木県,05,宗教,32,False
2016-12,2016-12-31,09,栃木県,06,報道,1,False
2016-12,2016-12-31,09,栃木県,07,高度専門職１号イ,1,False
2016-12,2016-12-31,09,栃木県,08,高度専門職１号ロ,9,False
2016-12,2016-12-31,09,栃木県,11,経営・管理,266,False
2016-12,2016-12-31,09,栃木県,13,医療,4,False
2016-12,2016-12-31,09,栃木県,14,研究,6,False
2016-12,2016-12-31,09,栃木県,15,教育,186,False
2016-12,2016-12-31,09,栃木県,16,技術・人文知識・国際業務,1728,False
2016-12,2016-12-31,09,栃木県,17,企業内転勤,415,False
2016-12,2016-12-31,09,栃木県,19,興行,12,False
2016-12,2016-12-31,09,栃木県,20,技能,381,False
2016-12,2016-12-31,09,栃木県,23,技能実習１号イ,135,False
2016-12,2016-12-31,09,栃木県,24,技能実習１号ロ,2170,False
2016-12,2016-12-31,09,栃木県,25,技能実習２号イ,38,False
2016-12,2016-12-31,09,栃木県,26,技能実習２号ロ,2363,False
2016-12,2016-12-31,09,栃木県,29,文化活動,9,False
2016-12,2016-12-31,09,栃木県,31,留学,2801,False
2016-12,2016-12-31,09,栃木県,32,研修,18,False
2016-12,2016-12-31,09,栃木県,33,家族滞在,1668,False
2016-12,2016-12-31,09,栃木県,34,特定活動,1993,False
2016-12,2016-12-31,09,栃木県,35,永住者,13730,False
2016-12,2016-12-31,09,栃木県,36,日本人の配偶者等,2534,False
2016-12,2016-12-31,09,栃木県,37,永住者の配偶者等,574,False
2016-12,2016-12-31,09,栃木県,38,定住者,4049,False
2016-12,2016-12-31,09,栃木県,39,特別永住者,1508,False
2016-12,2016-12-31,10,群馬県,03,教授,17,False
2016-12,2016-12-31,10,群馬県,05,宗教,54,False
2016-12,2016-12-31,10,群馬県,07,高度専門職１号イ,3,False
2016-12,2016-12-31,10,群馬県,08,高度専門職１号ロ,9,False
2016-12,2016-12-31,10,群馬県,11,経営・管理,282,False
2016-12,2016-12-31,10,群馬県,13,医療,3,False
2016-12,2016-12-31,10,群馬県,14,研究,3,False
2016-12,2016-12-31,10,群馬県,15,教育,286,False
2016-12,2016-12-31,10,群馬県,16,技術・人文知識・国際業務,2246,False
2016-12,2016-12-31,10,群馬県,17,企業内転勤,148,False
2016-12,2016-12-31,10,群馬県,19,興行,14,False
2016-12,2016-12-31,10,群馬県,20,技能,563,False
2016-12,2016-12-31,10,群馬県,23,技能実習１号イ,127,False
2016-12,2016-12-31,10,群馬県,24,技能実習１号ロ,2968,False
2016-12,2016-12-31,10,群馬県,25,技能実習２号イ,17,False
2016-12,2016-12-31,10,群馬県,26,技能実習２号ロ,3133,False
2016-12,2016-12-31,10,群馬県,29,文化活動,9,False
2016-12,2016-12-31,10,群馬県,31,留学,2067,False
2016-12,2016-12-31,10,群馬県,32,研修,8,False
2016-12,2016-12-31,10,群馬県,33,家族滞在,2069,False
2016-12,2016-12-31,10,群馬県,34,特定活動,1993,False
2016-12,2016-12-31,10,群馬県,35,永住者,19861,False
2016-12,2016-12-31,10,群馬県,36,日本人の配偶者等,3475,False
2016-12,2016-12-31,10,群馬県,37,永住者の配偶者等,934,False
2016-12,2016-12-31,10,群馬県,38,定住者,8324,False
2016-12,2016-12-31,10,群馬県,39,特別永住者,1607,False
2016-12,2016-12-31,11,埼玉県,03,教授,197,False
2016-12,2016-12-31,11,埼玉県,04,芸術,19,False
2016-12,2016-12-31,11,埼玉県,05,宗教,148,False
2016-12,2016-12-31,11,埼玉県,06,報道,3,False
2016-12,2016-12-31,11,埼玉県,07,高度専門職１号イ,35,False
2016-12,2016-12-31,11,埼玉県,08,高度専門職１号ロ,157,False
2016-12,2016-12-31,11,埼玉県,10,高度専門職２号,2,False
2016-12,2016-12-31,11,埼玉県,11,経営・管理,2175,False
2016-12,2016-12-31,11,埼玉県,12,法律・会計業務,2,False
2016-12,2016-12-31,11,埼玉県,13,医療,117,False
2016-12,2016-12-31,11,埼玉県,14,研究,219,False
2016-12,2016-12-31,11,埼玉県,15,教育,459,False
2016-12,2016-12-31,11,埼玉県,16,技術・人文知識・国際業務,12023,False
2016-12,2016-12-31,11,埼玉県,17,企業内転勤,616,False
2016-12,2016-12-31,11,埼玉県,19,興行,22,False
2016-12,2016-12-31,11,埼玉県,20,技能,2865,False
2016-12,2016-12-31,11,埼玉県,23,技能実習１号イ,114,False
2016-12,2016-12-31,11,埼玉県,24,技能実習１号ロ,4750,False
2016-12,2016-12-31,11,埼玉県,25,技能実習２号イ,62,False
2016-12,2016-12-31,11,埼玉県,26,技能実習２号ロ,5169,False
2016-12,2016-12-31,11,埼玉県,29,文化活動,83,False
2016-12,2016-12-31,11,埼玉県,31,留学,16269,False
2016-12,2016-12-31,11,埼玉県,32,研修,102,False
2016-12,2016-12-31,11,埼玉県,33,家族滞在,13073,False
2016-12,2016-12-31,11,埼玉県,34,特定活動,3828,False
2016-12,2016-12-31,11,埼玉県,35,永住者,57075,False
2016-12,2016-12-31,11,埼玉県,36,日本人の配偶者等,9912,False
2016-12,2016-12-31,11,埼玉県,37,永住者の配偶者等,2916,False
2016-12,2016-12-31,11,埼玉県,38,定住者,11181,False
2016-12,2016-12-31,11,埼玉県,39,特別永住者,8893,False
2016-12,2016-12-31,12,千葉県,03,教授,351,False
2016-12,2016-12-31,12,千葉県,04,芸術,14,False
2016-12,2016-12-31,12,千葉県,05,宗教,143,False
2016-12,2016-12-31,12,千葉県,06,報道,2,False
2016-12,2016-12-31,12,千葉県,07,高度専門職１号イ,29,False
2016-12,2016-12-31,12,千葉県,08,高度専門職１号ロ,166,False
2016-12,2016-12-31,12,千葉県,09,高度専門職１号ハ,1,False
2016-12,2016-12-31,12,千葉県,10,高度専門職２号,3,False
2016-12,2016-12-31,12,千葉県,11,経営・管理,1714,False
2016-12,2016-12-31,12,千葉県,12,法律・会計業務,2,False
2016-12,2016-12-31,12,千葉県,13,医療,131,False
2016-12,2016-12-31,12,千葉県,14,研究,55,False
2016-12,2016-12-31,12,千葉県,15,教育,390,False
2016-12,2016-12-31,12,千葉県,16,技術・人文知識・国際業務,11199,False
2016-12,2016-12-31,12,千葉県,17,企業内転勤,857,False
2016-12,2016-12-31,12,千葉県,19,興行,157,False
2016-12,2016-12-31,12,千葉県,20,技能,2294,False
2016-12,2016-12-31,12,千葉県,23,技能実習１号イ,121,False
2016-12,2016-12-31,12,千葉県,24,技能実習１号ロ,4882,False
2016-12,2016-12-31,12,千葉県,25,技能実習２号イ,12,False
2016-12,2016-12-31,12,千葉県,26,技能実習２号ロ,5514,False
2016-12,2016-12-31,12,千葉県,29,文化活動,83,False
2016-12,2016-12-31,12,千葉県,31,留学,16207,False
2016-12,2016-12-31,12,千葉県,32,研修,41,False
2016-12,2016-12-31,12,千葉県,33,家族滞在,10898,False
2016-12,2016-12-31,12,千葉県,34,特定活動,2341,False
2016-12,2016-12-31,12,千葉県,35,永住者,46088,False
2016-12,2016-12-31,12,千葉県,36,日本人の配偶者等,9887,False
2016-12,2016-12-31,12,千葉県,37,永住者の配偶者等,2223,False
2016-12,2016-12-31,12,千葉県,38,定住者,9475,False
2016-12,2016-12-31,12,千葉県,39,特別永住者,7791,False
2016-12,2016-12-31,13,東京都,03,教授,1865,False
2016-12,2016-12-31,13,東京都,04,芸術,245,False
2016-12,2016-12-31,13,東京都,05,宗教,1131,False
2016-12,2016-12-31,13,東京都,06,報道,220,False
2016-12,2016-12-31,13,東京都,07,高度専門職１号イ,151,False
