period,period_date,pref_code,prefecture,n_residents
2020-12,2020-12-31,05,秋田県,4220
2020-12,2020-12-31,06,山形県,7826
2020-12,2020-12-31,07,福島県,15043
2020-12,2020-12-31,08,茨城県,72287
2020-12,2020-12-31,09,栃木県,43647
2020-12,2020-12-31,10,群馬県,62749
2020-12,2020-12-31,11,埼玉県,198235
2020-12,2020-12-31,12,千葉県,169833
2020-12,2020-12-31,13,東京都,560180
2020-12,2020-12-31,14,神奈川県,232321
2020-12,2020-12-31,15,新潟県,17756
2020-12,2020-12-31,16,富山県,19356
2020-12,2020-12-31,17,石川県,15792
2020-12,2020-12-31,18,福井県,16156
2020-12,2020-12-31,19,山梨県,17125
2020-12,2020-12-31,20,長野県,36530
2020-12,2020-12-31,21,岐阜県,59377
2020-12,2020-12-31,22,静岡県,99629
2020-12,2020-12-31,23,愛知県,273784
2020-12,2020-12-31,24,三重県,55982
2020-12,2020-12-31,25,滋賀県,33881
2020-12,2020-12-31,26,京都府,61696
2020-12,2020-12-31,27,大阪府,253814
2020-12,2020-12-31,28,兵庫県,114806
2020-12,2020-12-31,29,奈良県,13985
2020-12,2020-12-31,30,和歌山県,7272
2020-12,2020-12-31,31,鳥取県,4949
2020-12,2020-12-31,32,島根県,9324
2020-12,2020-12-31,33,岡山県,31313
2020-12,2020-12-31,34,広島県,55782
2020-12,2020-12-31,35,山口県,17279
2020-12,2020-12-31,36,徳島県,6627
2020-12,2020-12-31,37,香川県,14174
2020-12,2020-12-31,38,愛媛県,13481
2020-12,2020-12-31,39,高知県,4832
2020-12,2020-12-31,40,福岡県,81072
2020-12,2020-12-31,41,佐賀県,7116
2020-12,2020-12-31,42,長崎県,9955
2020-12,2020-12-31,43,熊本県,17751
2020-12,2020-12-31,44,大分県,13216
2020-12,2020-12-31,45,宮崎県,7736
2020-12,2020-12-31,46,鹿児島県,12204
2020-12,2020-12-31,47,沖縄県,19839
2021-06,2021-06-30,01,北海道,38451
2021-06,2021-06-30,02,青森県,6141
2021-06,2021-06-30,03,岩手県,7695
2021-06,2021-06-30,04,宮城県,21993
2021-06,2021-06-30,05,秋田県,4200
2021-06,2021-06-30,06,山形県,7730
2021-06,2021-06-30,07,福島県,14712
2021-06,2021-06-30,08,茨城県,72279
2021-06,2021-06-30,09,栃木県,43521
2021-06,2021-06-30,10,群馬県,63174
2021-06,2021-06-30,11,埼玉県,198548
2021-06,2021-06-30,12,千葉県,168048
2021-06,2021-06-30,13,東京都,541807
2021-06,2021-06-30,14,神奈川県,230301
2021-06,2021-06-30,15,新潟県,17571
2021-06,2021-06-30,16,富山県,18920
2021-06,2021-06-30,17,石川県,15272
2021-06,2021-06-30,18,福井県,16306
2021-06,2021-06-30,19,山梨県,17185
2021-06,2021-06-30,20,長野県,36656
2021-06,2021-06-30,21,岐阜県,58412
2021-06,2021-06-30,22,静岡県,99143
2021-06,2021-06-30,23,愛知県,269685
2021-06,2021-06-30,24,三重県,55331
2021-06,2021-06-30,25,滋賀県,33860
2021-06,2021-06-30,26,京都府,59825
2021-06,2021-06-30,27,大阪府,250071
2021-06,2021-06-30,28,兵庫県,113772
2021-06,2021-06-30,29,奈良県,14075
2021-06,2021-06-30,30,和歌山県,7322
2021-06,2021-06-30,31,鳥取県,4772
2021-06,2021-06-30,32,島根県,9676
2021-06,2021-06-30,33,岡山県,30823
2021-06,2021-06-30,34,広島県,53604
2021-06,2021-06-30,35,山口県,16777
2021-06,2021-06-30,36,徳島県,6548
2021-06,2021-06-30,37,香川県,13832
2021-06,2021-06-30,38,愛媛県,12931
2021-06,2021-06-30,39,高知県,4725
2021-06,2021-06-30,40,福岡県,79206
2021-06,2021-06-30,41,佐賀県,6909
2021-06,2021-06-30,42,長崎県,9431
2021-06,2021-06-30,43,熊本県,17557
2021-06,2021-06-30,44,大分県,12665
2021-06,2021-06-30,45,宮崎県,7566
2021-06,2021-06-30,46,鹿児島県,12445
2021-06,2021-06-30,47,沖縄県,19205
2021-12,2021-12-31,01,北海道,36316
2021-12,2021-12-31,02,青森県,5693
2021-12,2021-12-31,03,岩手県,7203
2021-12,2021-12-31,04,宮城県,21089
2021-12,2021-12-31,05,秋田県,4045
2021-12,2021-12-31,06,山形県,7472
2021-12,2021-12-31,07,福島県,14120
2021-12,2021-12-31,08,茨城県,71121
2021-12,2021-12-31,09,栃木県,42430
2021-12,2021-12-31,10,群馬県,61945
2021-12,2021-12-31,11,埼玉県,197110
2021-12,2021-12-31,12,千葉県,165356
2021-12,2021-12-31,13,東京都,531131
2021-12,2021-12-31,14,神奈川県,227511
2021-12,2021-12-31,15,新潟県,16936
2021-12,2021-12-31,16,富山県,18237
2021-12,2021-12-31,17,石川県,14766
2021-12,2021-12-31,18,福井県,16014
2021-12,2021-12-31,19,山梨県,17163
2021-12,2021-12-31,20,長野県,35673
2021-12,2021-12-31,21,岐阜県,56697
2021-12,2021-12-31,22,静岡県,97338
2021-12,2021-12-31,23,愛知県,265199
2021-12,2021-12-31,24,三重県,54295
2021-12,2021-12-31,25,滋賀県,33458
2021-12,2021-12-31,26,京都府,58370
2021-12,2021-12-31,27,大阪府,246157
2021-12,2021-12-31,28,兵庫県,111940
2021-12,2021-12-31,29,奈良県,13873
2021-12,2021-12-31,30,和歌山県,7132
2021-12,2021-12-31,31,鳥取県,4529
2021-12,2021-12-31,32,島根県,9405
2021-12,2021-12-31,33,岡山県,29435
2021-12,2021-12-31,34,広島県,50605
2021-12,2021-12-31,35,山口県,15873
2021-12,2021-12-31,36,徳島県,6094
2021-12,2021-12-31,37,香川県,13043
2021-12,2021-12-31,38,愛媛県,11900
2021-12,2021-12-31,39,高知県,4500
2021-12,2021-12-31,40,福岡県,76234
2021-12,2021-12-31,41,佐賀県,6507
2021-12,2021-12-31,42,長崎県,8982
2021-12,2021-12-31,43,熊本県,16686
2021-12,2021-12-31,44,大分県,11879
2021-12,2021-12-31,45,宮崎県,7011
2021-12,2021-12-31,46,鹿児島県,11833
2021-12,2021-12-31,47,沖縄県,18535
2022-06,2022-06-30,01,北海道,41048
2022-06,2022-06-30,02,青森県,6306
2022-06,2022-06-30,03,岩手県,8003
2022-06,2022-06-30,04,宮城県,23249
2022-06,2022-06-30,05,秋田県,4405
2022-06,2022-06-30,06,山形県,7929
2022-06,2022-06-30,07,福島県,15273
2022-06,2022-06-30,08,茨城県,77826
2022-06,2022-06-30,09,栃木県,44825
2022-06,2022-06-30,10,群馬県,64869
2022-06,2022-06-30,11,埼玉県,205824
2022-06,2022-06-30,12,千葉県,176790
2022-06,2022-06-30,13,東京都,566525
2022-06,2022-06-30,14,神奈川県,237450
2022-06,2022-06-30,15,新潟県,17901
2022-06,2022-06-30,16,富山県,19733
2022-06,2022-06-30,17,石川県,16254
2022-06,2022-06-30,18,福井県,16902
2022-06,2022-06-30,19,山梨県,18765
2022-06,2022-06-30,20,長野県,38384
2022-06,2022-06-30,21,岐阜県,61022
2022-06,2022-06-30,22,静岡県,102831
2022-06,2022-06-30,23,愛知県,280912
2022-06,2022-06-30,24,三重県,57748
2022-06,2022-06-30,25,滋賀県,35826
2022-06,2022-06-30,26,京都府,63674
2022-06,2022-06-30,27,大阪府,262681
2022-06,2022-06-30,28,兵庫県,119509
2022-06,2022-06-30,29,奈良県,15026
2022-06,2022-06-30,30,和歌山県,7619
2022-06,2022-06-30,31,鳥取県,4961
2022-06,2022-06-30,32,島根県,10107
2022-06,2022-06-30,33,岡山県,31502
2022-06,2022-06-30,34,広島県,54784
2022-06,2022-06-30,35,山口県,16734
2022-06,2022-06-30,36,徳島県,6641
2022-06,2022-06-30,37,香川県,14234
2022-06,2022-06-30,38,愛媛県,13064
2022-06,2022-06-30,39,高知県,5038
2022-06,2022-06-30,40,福岡県,85065
2022-06,2022-06-30,41,佐賀県,7333
2022-06,2022-06-30,42,長崎県,10397
2022-06,2022-06-30,43,熊本県,18807
2022-06,2022-06-30,44,大分県,14307
2022-06,2022-06-30,45,宮崎県,8007
2022-06,2022-06-30,46,鹿児島県,13064
2022-06,2022-06-30,47,沖縄県,20437
2022-12,2022-12-31,01,北海道,45491
2022-12,2022-12-31,02,青森県,6702
2022-12,2022-12-31,03,岩手県,8374
2022-12,2022-12-31,04,宮城県,24568
2022-12,2022-12-31,05,秋田県,4589
2022-12,2022-12-31,06,山形県,8162
2022-12,2022-12-31,07,福島県,15858
2022-12,2022-12-31,08,茨城県,81478
2022-12,2022-12-31,09,栃木県,45918
2022-12,2022-12-31,10,群馬県,66963
2022-12,2022-12-31,11,埼玉県,212624
2022-12,2022-12-31,12,千葉県,182189
2022-12,2022-12-31,13,東京都,596148
2022-12,2022-12-31,14,神奈川県,245790
2022-12,2022-12-31,15,新潟県,19107
2022-12,2022-12-31,16,富山県,20175
2022-12,2022-12-31,17,石川県,17161
2022-12,2022-12-31,18,福井県,16720
2022-12,2022-12-31,19,山梨県,19982
2022-12,2022-12-31,20,長野県,39248
2022-12,2022-12-31,21,岐阜県,62710
2022-12,2022-12-31,22,静岡県,106345
2022-12,2022-12-31,23,愛知県,286604
2022-12,2022-12-31,24,三重県,58974
2022-12,2022-12-31,25,滋賀県,37350
2022-12,2022-12-31,26,京都府,68443
2022-12,2022-12-31,27,大阪府,272449
2022-12,2022-12-31,28,兵庫県,123125
2022-12,2022-12-31,29,奈良県,15590
2022-12,2022-12-31,30,和歌山県,8006
2022-12,2022-12-31,31,鳥取県,5020
2022-12,2022-12-31,32,島根県,9889
2022-12,2022-12-31,33,岡山県,32042
2022-12,2022-12-31,34,広島県,56068
2022-12,2022-12-31,35,山口県,17394
2022-12,2022-12-31,36,徳島県,7009
2022-12,2022-12-31,37,香川県,15078
2022-12,2022-12-31,38,愛媛県,13742
2022-12,2022-12-31,39,高知県,5341
2022-12,2022-12-31,40,福岡県,89518
2022-12,2022-12-31,41,佐賀県,7919
2022-12,2022-12-31,42,長崎県,11214
2022-12,2022-12-31,43,熊本県,20660
2022-12,2022-12-31,44,大分県,15541
2022-12,2022-12-31,45,宮崎県,8309
2022-12,2022-12-31,46,鹿児島県,13975
2022-12,2022-12-31,47,沖縄県,21792
2023-06,2023-06-30,01,北海道,49152
2023-06,2023-06-30,02,青森県,7164
2023-06,2023-06-30,03,岩手県,9112
2023-06,2023-06-30,04,宮城県,25220
2023-06,2023-06-30,05,秋田県,4940
2023-06,2023-06-30,06,山形県,8756
2023-06,2023-06-30,07,福島県,16789
2023-06,2023-06-30,08,茨城県,85858
2023-06,2023-06-30,09,栃木県,48430
2023-06,2023-06-30,10,群馬県,70317
2023-06,2023-06-30,11,埼玉県,221835
2023-06,2023-06-30,12,千葉県,192443
2023-06,2023-06-30,13,東京都,627183
2023-06,2023-06-30,14,神奈川県,256738
2023-06,2023-06-30,15,新潟県,19710
2023-06,2023-06-30,16,富山県,20958
2023-06,2023-06-30,17,石川県,18302
2023-06,2023-06-30,18,福井県,16794
2023-06,2023-06-30,19,山梨県,20585
2023-06,2023-06-30,20,長野県,41540
2023-06,2023-06-30,21,岐阜県,65475
2023-06,2023-06-30,22,静岡県,110354
2023-06,2023-06-30,23,愛知県,297248
2023-06,2023-06-30,24,三重県,61208
2023-06,2023-06-30,25,滋賀県,39009
