election_id,election_type,election_date,election_year,pref_code,prefecture,party,votes,vote_share_pct
2013_sangiin,sangiin_pr,2013-07-21,2013,28,兵庫県,公明党,365337.61,15.64
2013_sangiin,sangiin_pr,2013-07-21,2013,29,奈良県,自由民主党,220416.828,35.56
2013_sangiin,sangiin_pr,2013-07-21,2013,29,奈良県,民主党,70458.531,11.37
2013_sangiin,sangiin_pr,2013-07-21,2013,29,奈良県,日本維新の会,115413.951,18.62
2013_sangiin,sangiin_pr,2013-07-21,2013,29,奈良県,公明党,86113.517,13.89
2013_sangiin,sangiin_pr,2013-07-21,2013,30,和歌山県,自由民主党,184860.982,41.91
2013_sangiin,sangiin_pr,2013-07-21,2013,30,和歌山県,民主党,33713.371,7.64
2013_sangiin,sangiin_pr,2013-07-21,2013,30,和歌山県,日本維新の会,61069.098,13.85
2013_sangiin,sangiin_pr,2013-07-21,2013,30,和歌山県,公明党,80504.154,18.25
2013_sangiin,sangiin_pr,2013-07-21,2013,31,鳥取県,自由民主党,115477.069,41.95
2013_sangiin,sangiin_pr,2013-07-21,2013,31,鳥取県,民主党,46653.991,16.95
2013_sangiin,sangiin_pr,2013-07-21,2013,31,鳥取県,日本維新の会,18186.899,6.61
2013_sangiin,sangiin_pr,2013-07-21,2013,31,鳥取県,公明党,51327.052,18.64
2013_sangiin,sangiin_pr,2013-07-21,2013,32,島根県,自由民主党,157895.896,45.52
2013_sangiin,sangiin_pr,2013-07-21,2013,32,島根県,民主党,47968.49,13.83
2013_sangiin,sangiin_pr,2013-07-21,2013,32,島根県,日本維新の会,26361.867,7.6
2013_sangiin,sangiin_pr,2013-07-21,2013,32,島根県,公明党,49949.531,14.4
2013_sangiin,sangiin_pr,2013-07-21,2013,33,岡山県,自由民主党,284616.59,38.06
2013_sangiin,sangiin_pr,2013-07-21,2013,33,岡山県,民主党,100310.073,13.41
2013_sangiin,sangiin_pr,2013-07-21,2013,33,岡山県,日本維新の会,80516.828,10.77
2013_sangiin,sangiin_pr,2013-07-21,2013,33,岡山県,公明党,144708.986,19.35
2013_sangiin,sangiin_pr,2013-07-21,2013,34,広島県,自由民主党,438853.946,38.76
2013_sangiin,sangiin_pr,2013-07-21,2013,34,広島県,民主党,145458.157,12.85
2013_sangiin,sangiin_pr,2013-07-21,2013,34,広島県,日本維新の会,136334.297,12.04
2013_sangiin,sangiin_pr,2013-07-21,2013,34,広島県,公明党,184963.275,16.34
2013_sangiin,sangiin_pr,2013-07-21,2013,35,山口県,自由民主党,281110.162,48.38
2013_sangiin,sangiin_pr,2013-07-21,2013,35,山口県,民主党,66101.386,11.38
2013_sangiin,sangiin_pr,2013-07-21,2013,35,山口県,日本維新の会,41662.7,7.17
2013_sangiin,sangiin_pr,2013-07-21,2013,35,山口県,公明党,95525.619,16.44
2013_sangiin,sangiin_pr,2013-07-21,2013,36,徳島県,自由民主党,111547.332,36.09
2013_sangiin,sangiin_pr,2013-07-21,2013,36,徳島県,民主党,49483.264,16.01
2013_sangiin,sangiin_pr,2013-07-21,2013,36,徳島県,日本維新の会,36191.997,11.71
2013_sangiin,sangiin_pr,2013-07-21,2013,36,徳島県,公明党,56009.599,18.12
2013_sangiin,sangiin_pr,2013-07-21,2013,37,香川県,自由民主党,183656.472,44.06
2013_sangiin,sangiin_pr,2013-07-21,2013,37,香川県,民主党,44137.595,10.59
2013_sangiin,sangiin_pr,2013-07-21,2013,37,香川県,日本維新の会,43949.633,10.54
2013_sangiin,sangiin_pr,2013-07-21,2013,37,香川県,公明党,64282.523,15.42
2013_sangiin,sangiin_pr,2013-07-21,2013,38,愛媛県,自由民主党,232283.207,41.0
2013_sangiin,sangiin_pr,2013-07-21,2013,38,愛媛県,民主党,57207.428,10.1
2013_sangiin,sangiin_pr,2013-07-21,2013,38,愛媛県,日本維新の会,55041.934,9.72
2013_sangiin,sangiin_pr,2013-07-21,2013,38,愛媛県,公明党,104142.137,18.38
2013_sangiin,sangiin_pr,2013-07-21,2013,39,高知県,自由民主党,104555.859,34.82
2013_sangiin,sangiin_pr,2013-07-21,2013,39,高知県,民主党,44073.204,14.68
2013_sangiin,sangiin_pr,2013-07-21,2013,39,高知県,日本維新の会,19684.81,6.56
