election_id,election_year,election_date,election_type,pref_code,prefecture,share_公明党,share_参政党,share_国民民主党,share_希望の党,share_日本共産党,share_日本維新の会,share_次世代の党,share_民主党,share_民進党,share_立憲民主党,share_維新の党,share_自由民主党,treat_period,foreign_total,foreign_growth_yoy,by_status_intern_low_skill,by_status_long_term,by_status_other,by_status_other_work,by_status_permanent,by_status_skilled_specialist,by_status_specified_skilled,by_status_spouse_japanese,by_status_student
2014_shugiin,2014,2014-12-14,shugiin_pr,08,茨城県,15.479942995711692,,,,9.912935363759425,,2.118020951348333,18.56145328472603,,,13.854866302869368,40.07278110158515,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,09,栃木県,14.642000403349927,,,,8.46968506862256,,2.4376134421670503,22.08818503147191,,,13.403689590387536,38.95882646400102,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,10,群馬県,14.675691970119207,,,,11.686448330913993,,2.3713415565025913,15.448069573497486,,,15.724029611689424,40.0944189572773,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,11,埼玉県,15.836893312360445,,,,14.335923519953631,,3.6603509408994017,18.68041892238693,,,14.76029280572902,32.726120498670575,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,12,千葉県,14.739828345381628,,,,12.161329043552904,,3.7471350582043703,19.117281610081783,,,14.600731622300298,35.633694320479016,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,13,東京都,12.862914108406246,,,,16.27647970627903,,4.650147189347618,17.26615651804551,,,14.99262629411891,33.95167618380269,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,14,神奈川県,12.624698028557871,,,,12.842117466890986,,3.758331176394461,17.740121219964628,,,17.378887882317414,35.65584422587464,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,15,新潟県,9.121148421008792,,,,9.84132272708342,,1.8310686549366628,27.983555782547036,,,12.232222512050397,38.990681902373694,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,16,富山県,10.184192935734066,,,,7.801143778713833,,2.247503952296576,11.16139163280247,,,18.3476747763902,50.25809292406286,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,17,石川県,10.098007599444763,,,,7.768632894472409,,2.035866014217411,23.611559007865846,,,12.530203820286683,43.955730663712885,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,18,福井県,10.268900492795042,,,,7.512119552878644,,1.7745295743799998,16.29595747806461,,,16.275591287276807,47.8729016146049,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,19,山梨県,13.527961944482028,,,,11.463349278234547,,1.7451840296293937,22.08780042608172,,,14.73298259856788,36.44272172300443,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,20,長野県,10.901962974338927,,,,15.650517968335521,,2.139334878396113,27.19314215508335,,,16.65339401893167,27.46164800491442,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,21,岐阜県,12.538041060579285,,,,10.329861851687092,,3.515926361525664,20.40621819755148,,,17.11795928067813,36.09199324797835,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,22,静岡県,13.108730538125762,,,,9.615473891697313,,1.944524953984093,23.77438341193992,,,15.102439501786058,36.45444770246685,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,23,愛知県,12.470846402573855,,,,10.360119223754365,,2.4805440928826217,24.737012358166236,,,15.736452824300986,34.21502509832194,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,24,三重県,15.461065534620513,,,,9.242708504483987,,1.7152638999805125,26.71032839273137,,,14.65571811948895,32.21491554869467,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,25,滋賀県,9.025677787096033,,,,11.667403234169308,,1.6325699710128787,23.54533717972363,,,18.921317191485514,35.207694636512635,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,26,京都府,11.522397343240387,,,,19.174546452189915,,1.9386897056507646,17.804667157265232,,,18.76598943595361,30.79370990570009,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,27,大阪府,17.36430515997867,,,,13.072250646831286,,2.2281038004103393,8.546964259514999,,,33.29073523349969,25.497640899765024,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,28,兵庫県,14.71935266376782,,,,11.988552303993595,,2.4213062819392697,13.847033448248444,,,24.738384665198094,32.285370636852775,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,29,奈良県,13.17987685757784,,,,11.456186087870336,,1.8016652520108323,14.686990555488192,,,22.56325532516875,36.31202592188405,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,30,和歌山県,18.302282832487794,,,,11.427704453065637,,1.6052302267785805,12.582035765963903,,,22.286644313984137,33.79610240771995,,,,,,,,,,,,
