election_id,election_type,election_date,election_year,pref_code,prefecture,party,votes,vote_share_pct,treat_period,foreign_total,foreign_total_year_ago,foreign_growth_yoy,by_status_intern_low_skill,by_status_long_term,by_status_other,by_status_other_work,by_status_permanent,by_status_skilled_specialist,by_status_specified_skilled,by_status_spouse_japanese,by_status_student,restrictive_score
2013_sangiin,sangiin_pr,2013-07-21,2013,16,富山県,日本維新の会,38986.689,8.97,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,16,富山県,公明党,40400.701,9.3,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,17,石川県,自由民主党,245792.291,49.35,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,17,石川県,民主党,79407.724,15.94,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,17,石川県,日本維新の会,40996.398,8.23,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,17,石川県,公明党,46480.839,9.33,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,18,福井県,自由民主党,161955.222,47.78,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,18,福井県,民主党,54309.387,16.02,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,18,福井県,日本維新の会,30252.597,8.93,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,18,福井県,公明党,36621.842,10.8,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,19,山梨県,自由民主党,133301.414,35.08,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,19,山梨県,民主党,58355.496,15.36,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,19,山梨県,日本維新の会,34031.638,8.96,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,19,山梨県,公明党,51153.953,13.46,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,20,長野県,自由民主党,299664.059,30.63,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,20,長野県,民主党,177917.159,18.19,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,20,長野県,日本維新の会,78613.427,8.04,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,20,長野県,公明党,113329.019,11.58,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,21,岐阜県,自由民主党,346869.589,40.16,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,21,岐阜県,民主党,119580.102,13.84,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,21,岐阜県,日本維新の会,95316.579,11.03,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,21,岐阜県,公明党,115754.263,13.4,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,22,静岡県,自由民主党,512774.012,33.57,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,22,静岡県,民主党,292520.703,19.15,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,22,静岡県,日本維新の会,176007.684,11.52,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,22,静岡県,公明党,208302.22,13.64,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,23,愛知県,自由民主党,996400.676,32.96,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,23,愛知県,民主党,548599.756,18.15,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,23,愛知県,日本維新の会,320057.962,10.59,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,23,愛知県,公明党,409796.771,13.56,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,24,三重県,自由民主党,282098.755,33.58,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,24,三重県,民主党,194999.488,23.21,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,24,三重県,日本維新の会,100480.724,11.96,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,24,三重県,公明党,114819.824,13.67,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,25,滋賀県,自由民主党,208451.297,36.01,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,25,滋賀県,民主党,98946.078,17.09,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,25,滋賀県,日本維新の会,84776.494,14.64,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,25,滋賀県,公明党,59127.691,10.21,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,26,京都府,自由民主党,324921.939,30.67,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,26,京都府,民主党,129957.177,12.27,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,26,京都府,日本維新の会,166379.854,15.7,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,26,京都府,公明党,132466.341,12.5,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,27,大阪府,自由民主党,896679.679,24.47,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,27,大阪府,民主党,270518.635,7.38,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,27,大阪府,日本維新の会,1053036.557,28.73,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,27,大阪府,公明党,667150.87,18.2,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,28,兵庫県,自由民主党,720802.437,30.85,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,28,兵庫県,民主党,287828.334,12.32,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,28,兵庫県,日本維新の会,456393.11,19.54,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,28,兵庫県,公明党,365337.61,15.64,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,29,奈良県,自由民主党,220416.828,35.56,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,29,奈良県,民主党,70458.531,11.37,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,29,奈良県,日本維新の会,115413.951,18.62,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,29,奈良県,公明党,86113.517,13.89,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,30,和歌山県,自由民主党,184860.982,41.91,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,30,和歌山県,民主党,33713.371,7.64,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,30,和歌山県,日本維新の会,61069.098,13.85,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,30,和歌山県,公明党,80504.154,18.25,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,31,鳥取県,自由民主党,115477.069,41.95,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,31,鳥取県,民主党,46653.991,16.95,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,31,鳥取県,日本維新の会,18186.899,6.61,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,31,鳥取県,公明党,51327.052,18.64,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,32,島根県,自由民主党,157895.896,45.52,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,32,島根県,民主党,47968.49,13.83,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,32,島根県,日本維新の会,26361.867,7.6,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,32,島根県,公明党,49949.531,14.4,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,33,岡山県,自由民主党,284616.59,38.06,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,33,岡山県,民主党,100310.073,13.41,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,33,岡山県,日本維新の会,80516.828,10.77,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,33,岡山県,公明党,144708.986,19.35,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,34,広島県,自由民主党,438853.946,38.76,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,34,広島県,民主党,145458.157,12.85,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,34,広島県,日本維新の会,136334.297,12.04,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,34,広島県,公明党,184963.275,16.34,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,35,山口県,自由民主党,281110.162,48.38,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,35,山口県,民主党,66101.386,11.38,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,35,山口県,日本維新の会,41662.7,7.17,,,,,,,,,,,,,,1.0
