year,prefecture,house,n_speeches,pct_pro,pct_anti,pct_neutral,stance_score_mean,pct_switcher_speeches
2017,愛知県,参議院,7,14.3,57.1,28.6,-0.429,14.3
2017,東京都,参議院,24,16.7,50.0,33.3,-0.333,87.5
2017,東京都,衆議院,3,33.3,0.0,66.7,0.333,0.0
2017,沖縄県,参議院,3,33.3,0.0,66.7,0.333,100.0
2017,神奈川県,衆議院,3,66.7,0.0,33.3,0.667,0.0
2017,福岡県,参議院,20,45.0,0.0,55.0,0.45,0.0
2017,福岡県,衆議院,17,29.4,5.9,64.7,0.235,0.0
2017,群馬県,衆議院,5,0.0,20.0,80.0,-0.2,40.0
2017,茨城県,参議院,10,50.0,30.0,20.0,0.2,20.0
2017,茨城県,衆議院,19,15.8,21.1,63.2,-0.053,10.5
2017,長野県,参議院,1,0.0,100.0,0.0,-1.0,0.0
2017,長野県,衆議院,1,0.0,100.0,0.0,-1.0,0.0
2017,静岡県,参議院,5,0.0,0.0,100.0,0.0,0.0
2017,静岡県,衆議院,5,0.0,40.0,60.0,-0.4,0.0
2017,香川県,参議院,1,100.0,0.0,0.0,1.0,0.0
2017,香川県,衆議院,3,0.0,66.7,33.3,-0.667,0.0
2018,京都府,参議院,26,0.0,65.4,34.6,-0.654,46.2
2018,京都府,衆議院,24,0.0,66.7,33.3,-0.667,0.0
2018,佐賀県,参議院,7,28.6,14.3,57.1,0.143,100.0
2018,全国,参議院,411,5.8,46.2,47.9,-0.404,34.5
2018,全国,衆議院,222,10.8,32.0,57.2,-0.212,41.4
2018,兵庫県,参議院,34,11.8,35.3,52.9,-0.235,5.9
2018,兵庫県,衆議院,15,6.7,40.0,53.3,-0.333,0.0
2018,北海道,参議院,43,16.3,14.0,69.8,0.023,25.6
2018,北海道,衆議院,62,8.1,38.7,53.2,-0.306,6.5
2018,千葉県,参議院,53,5.7,13.2,81.1,-0.075,3.8
2018,千葉県,衆議院,18,0.0,22.2,77.8,-0.222,0.0
2018,埼玉県,参議院,6,16.7,33.3,50.0,-0.167,0.0
2018,埼玉県,衆議院,10,40.0,10.0,50.0,0.3,20.0
2018,大分県,参議院,14,28.6,7.1,64.3,0.214,0.0
2018,大分県,衆議院,5,40.0,0.0,60.0,0.4,0.0
2018,大阪府,参議院,6,16.7,33.3,50.0,-0.167,83.3
2018,大阪府,衆議院,23,4.3,39.1,56.5,-0.348,82.6
2018,宮城県,参議院,47,29.8,44.7,25.5,-0.149,0.0
2018,富山県,参議院,3,33.3,0.0,66.7,0.333,100.0
2018,山口県,参議院,48,27.1,6.2,66.7,0.208,0.0
2018,山口県,衆議院,38,18.4,10.5,71.1,0.079,0.0
2018,山形県,参議院,16,12.5,56.2,31.2,-0.438,0.0
2018,山形県,衆議院,4,0.0,50.0,50.0,-0.5,0.0
2018,山梨県,参議院,2,0.0,0.0,100.0,0.0,0.0
2018,岡山県,参議院,174,15.5,6.3,78.2,0.092,0.0
2018,岡山県,衆議院,135,16.3,5.9,77.8,0.104,0.0
2018,岩手県,衆議院,41,2.4,36.6,61.0,-0.341,0.0
2018,広島県,衆議院,5,20.0,0.0,80.0,0.2,0.0
2018,徳島県,衆議院,2,0.0,0.0,100.0,0.0,100.0
