speaker,speaker_yomi,canonical_house,canonical_party,canonical_position,n_speeches,first_date,last_date,wikipedia_title,district_prefecture,district_block,status,source,notes
宮沢洋一,みやざわよういち,衆議院,自由民主党,経済産業大臣・内閣府特命担当大臣（原子力損害賠償・廃炉等支援機構）,1,2015-07-03,2015-07-03,宮澤洋一,広島県,,ok,wikipedia,
寺田典城,てらたすけしろ,参議院,維新の党,,1,2014-11-19,2014-11-19,寺田典城,全国,比例区,ok,wikipedia,
鈴木俊彦,,衆議院,,厚生労働省大臣官房審議官,1,2014-05-16,2014-05-16,鈴木俊彦,,,no_district,,
後藤斎,ごとうひとし,衆議院,民主党・無所属クラブ,,1,2014-04-08,2014-04-08,後藤斎,山梨県,,ok,wikipedia,
谷博之,たにひろゆき,参議院,民主党・新緑風会,法務大臣政務官,1,2012-03-22,2012-03-22,谷博之,栃木県,,ok,wikipedia,
辻泰弘,つじやすひろ,衆議院,民主党・新緑風会,厚生労働副大臣,1,2012-03-07,2012-03-07,辻泰弘,兵庫県,,ok,wikipedia,
金子万里子,,参議院,,外務省大臣官房政策立案参事官,1,2024-12-19,2024-12-19,金子万里子,,,no_district,,
平岡秀夫,ひらおかひでお,衆議院,立憲民主党・無所属,,1,2024-12-18,2024-12-18,平岡秀夫,全国,比例区,ok,wikipedia,
工藤彰三,くどうしょうぞう,参議院,自由民主党・無所属の会,内閣府副大臣,1,2024-06-04,2024-06-04,工藤彰三,愛知4区,,ok,wikipedia,
滝波宏文,たきなみひろふみ,参議院,自由民主党,,1,2024-05-30,2024-05-30,滝波宏文,福井県,,ok,wikipedia,
高橋美佐子,,参議院,,外務省大臣官房参事官,1,2024-04-18,2024-04-18,高橋美佐子,,,no_district,,
徳田修一,,衆議院,,外務省大臣官房審議官,1,2022-04-13,2022-04-13,徳田修一,,,no_district,,
鈴木敦,すずきあつし,衆議院,国民民主党・無所属クラブ,,1,2022-04-13,2022-04-13,鈴木敦,全国,比例区,ok,wikipedia,
赤嶺政賢,あかみねせいけん,衆議院,日本共産党,,1,2022-01-07,2022-01-07,赤嶺政賢,沖縄県,第1区,ok,wikipedia,
大野泰正,おおのやすただ,参議院,自由民主党・国民の声,,1,2021-05-28,2021-05-28,大野泰正,岐阜県,,ok,wikipedia,
市川正司,,衆議院,,日本弁護士連合会人権擁護委員会元委員長／弁護士,1,2021-04-21,2021-04-21,市川正司,,,no_district,,
武内則男,たけうちのりお,衆議院,立憲民主党・無所属,,1,2021-03-02,2021-03-02,武内則男,全国,比例区,ok,wikipedia,
村上史好,むらかみふみよし,衆議院,立憲民主党・無所属,,1,2021-03-02,2021-03-02,村上史好,全国,比例区,ok,wikipedia,
河邉賢裕,,参議院,,外務省大臣官房参事官,1,2020-11-17,2020-11-17,河邉賢裕,,,no_district,,
椿百合子,,参議院,,法務省大臣官房審議官,1,2020-06-12,2020-06-12,椿百合子,,,no_district,,
江島潔,えじまきよし,参議院,自由民主党・国民の声,,1,2020-03-26,2020-03-26,江島潔,山口県,,ok,wikipedia,
竹本直一,たけもとなおかず,参議院,自由民主党・無所属の会,内閣府特命担当大臣（クールジャパン戦略・知的財産戦略・科学技術政策・宇宙政策）,1,2020-03-18,2020-03-18,竹本直一,大阪15区,,ok,wikipedia,
野田佳彦,のだよしひこ,衆議院,立憲民主・国民・社保・無所属フォーラム,,1,2020-02-25,2020-02-25,野田佳彦,千葉県,第14区,ok,wikipedia,
棚橋泰文,たなはしやすふみ,衆議院,自由民主党・無所属の会,,1,2020-02-17,2020-02-17,棚橋泰文,岐阜県,第2区,ok,wikipedia,
田中良生,たなかりょうせい,衆議院,自由民主党・無所属の会,,1,2020-02-14,2020-02-14,田中良生,埼玉県,第15区,ok,wikipedia,
若宮健嗣,わかみやけんじ,衆議院,自由民主党,,1,2019-06-05,2019-06-05,若宮健嗣,東京5区,,ok,wikipedia,
吉永和生,,参議院,,厚生労働大臣官房審議官,1,2019-04-23,2019-04-23,吉永和生,,,no_district,,
高木美智代,たかぎみちよ,衆議院,公明党,,1,2019-02-27,2019-02-27,高木美智代,全国,比例区,ok,wikipedia,
櫻田義孝,さくらだよしたか,参議院,自由民主党,国務大臣,1,2018-11-27,2018-11-27,桜田義孝,全国,比例区,ok,wikipedia,
福田守雄,,参議院,,国土交通大臣官房審議官,1,2018-11-15,2018-11-15,福田守雄,,,no_district,,
岸本周平,きしもとしゅうへい,衆議院,希望の党・無所属クラブ,,1,2017-11-30,2017-11-30,岸本周平,| 当選回数 = 1回,,ok,wikipedia,
鈴木俊一,すずきしゅんいち,衆議院,自由民主党,国務大臣,1,2017-11-29,2017-11-29,鈴木俊一,,,no_district,,
古川俊治,ふるかわとしはる,参議院,自由民主党・こころ,,1,2017-06-01,2017-06-01,古川俊治,埼玉県,,ok,wikipedia,
木村太郎,きむらたろう,衆議院,自由民主党・無所属の会,,1,2017-05-30,2017-05-30,木村太郎,,,no_district,,
橋本聖子,はしもとせいこ,参議院,自由民主党,,1,2016-09-28,2016-09-28,橋本聖子,全国,比例区,ok,wikipedia,
岡下昌平,おかしたしょうへい,衆議院,自由民主党,,1,2016-02-26,2016-02-26,岡下昌平,全国,比例区,ok,wikipedia,
尾立源幸,おだちもとゆき,参議院,民主党・新緑風会,,1,2014-11-11,2014-11-11,尾立源幸,大阪府,,ok,wikipedia,
井上哲士,いのうえさとし,参議院,日本共産党,,1,2014-06-03,2014-06-03,井上哲士,全国,比例区,ok,wikipedia,
島尻安伊子,しまじりあいこ,参議院,自由民主党,,1,2013-12-03,2013-12-03,島尻安伊子,沖縄県,第3区,ok,wikipedia,
百瀬智之,ももせともゆき,衆議院,日本維新の会,,1,2013-05-29,2013-05-29,百瀬智之,松本市・東筑摩郡,,ok,wikipedia,
新美潤,,衆議院,,外務省大臣官房参事官,1,2013-04-26,2013-04-26,新美潤,,,no_district,,
西根由佳,にしねゆか,衆議院,日本維新の会,,1,2013-03-15,2013-03-15,林原由佳,全国,比例区,ok,wikipedia,
宇都隆史,うとたかし,参議院,自由民主党・たちあがれ日本・無所属の会,,1,2012-08-28,2012-08-28,宇都隆史,全国,比例区,ok,wikipedia,
北村茂男,きたむらしげお,衆議院,自由民主党・無所属の会,,1,2012-08-03,2012-08-03,北村茂男,石川3区,,ok,wikipedia,
山根隆治,やまねりゅうじ,参議院,民主党・新緑風会,外務副大臣,1,2012-03-22,2012-03-22,山根隆治,埼玉県,,ok,wikipedia,
田中康夫,たなかやすお,衆議院,国民新党・新党日本,,1,2012-02-17,2012-02-17,田中康夫,兵庫県,第8区,ok,wikipedia,
