speaker,speaker_yomi,canonical_house,canonical_party,canonical_position,n_speeches,first_date,last_date,wikipedia_title,district_prefecture,district_block,status,source,notes
田中誠二,,参議院,,厚生労働大臣官房審議官,9,2018-11-29,2019-04-24,田中誠二,,,no_district,,
片山虎之助,かたやまとらのすけ,参議院,日本維新の会・希望の党,,9,2018-10-31,2020-03-19,片山虎之助,全国,比例区,ok,wikipedia,
野田国義,のだくによし,参議院,立憲民主党・民友会,,9,2014-03-13,2018-12-06,野田国義,福岡県,,ok,wikipedia,
小川勝也,おがわかつや,参議院,民進党・新緑風会,,9,2015-03-26,2019-04-15,小川勝也,北海道,,ok,wikipedia,
田村貴昭,たむらたかあき,衆議院,日本共産党,,9,2016-03-01,2017-05-30,田村貴昭,全国,比例区,ok,wikipedia,
緒方林太郎,おがたりんたろう,衆議院,民主・維新・無所属クラブ,,9,2016-02-25,2017-04-25,緒方林太郎,福岡県,第9区,ok,wikipedia,
山下雄平,やましたゆうへい,参議院,自由民主党,,9,2013-11-05,2024-05-23,山下雄平,佐賀県,,ok,wikipedia,
宮路拓馬,みやじたくま,衆議院,自由民主党,内閣府大臣政務官,9,2016-04-15,2022-03-15,宮路拓馬,鹿児島1区,,ok,wikipedia,
加田裕之,かだひろゆき,参議院,自由民主党,,9,2020-02-19,2023-06-02,加田裕之,兵庫県,,ok,wikipedia,
猪瀬直樹,いのせなおき,参議院,日本維新の会・教育無償化を実現する会,,8,2023-12-07,2024-06-04,猪瀬直樹,全国,比例区,ok,wikipedia,
穀田恵二,こくたけいじ,衆議院,日本共産党,,8,2018-11-21,2024-05-15,穀田恵二,全国,比例区,ok,wikipedia,
西村智奈美,にしむらちなみ,衆議院,立憲民主党・無所属,,8,2015-05-27,2024-05-10,西村智奈美,全国,比例区,ok,wikipedia,
宮本徹,みやもととおる,衆議院,日本共産党,,8,2020-03-11,2024-05-10,宮本徹,全国,比例区,ok,wikipedia,
杉本和巳,すぎもとかずみ,衆議院,日本維新の会,,8,2018-03-20,2024-02-09,杉本和巳,全国,比例区,ok,wikipedia,
白石洋一,しらいしよういち,衆議院,立憲民主党・無所属,,8,2018-02-15,2023-05-10,白石洋一,愛媛県,第2区,ok,wikipedia,
矢倉克夫,やくらかつお,参議院,公明党,,8,2015-03-26,2023-04-20,矢倉克夫,埼玉県,,ok,wikipedia,
高木錬太郎,たかぎれんたろう,衆議院,立憲民主・国民・社保・無所属フォーラム,,8,2018-12-07,2020-04-28,高木錬太郎,全国,比例区,ok,wikipedia,
今井雅人,いまいまさと,衆議院,立憲民主・国民・社保・無所属フォーラム,,8,2017-02-22,2020-04-15,今井雅人,岐阜県,第4区,ok,wikipedia,
長谷川嘉一,はせがわかいち,衆議院,立憲民主・国民・社保・無所属フォーラム,,8,2019-03-19,2020-03-31,長谷川嘉一,全国,比例区,ok,wikipedia,
高橋克彦,,参議院,,外務大臣官房審議官,8,2018-11-28,2019-05-14,高橋克彦,,,no_district,,
辰巳孝太郎,たつみこうたろう,参議院,日本共産党,,8,2018-11-26,2018-12-07,辰巳孝太郎,全国,比例区,ok,wikipedia,
平木大作,ひらきだいさく,参議院,公明党,経済産業大臣政務官・内閣府大臣政務官・復興大臣政務官,8,2014-04-03,2018-12-04,平木大作,全国,比例区,ok,wikipedia,
宮本岳志,みやもとたけし,衆議院,日本共産党,,8,2018-11-30,2023-05-10,宮本岳志,全国,比例区,ok,wikipedia,
浅田均,あさだひとし,参議院,日本維新の会,,8,2018-11-29,2023-10-26,浅田均,大阪府,,ok,wikipedia,
枝野幸男,えだのゆきお,衆議院,民進党・無所属クラブ,,8,2016-10-21,2020-02-26,枝野幸男,,,no_district,,
大沼みずほ,おおぬまみずほ,参議院,自由民主党,,8,2014-05-13,2019-03-28,大沼みずほ,,,no_district,,
高橋みほ,たかはしみほ,衆議院,日本維新の会,,8,2013-03-21,2014-03-19,高橋みほ,,,no_district,,
高市早苗,たかいちさなえ,衆議院,自由民主党・無所属の会,総務大臣・内閣府特命担当大臣（マイナンバー制度）,8,2018-11-13,2024-04-03,高市早苗,,,no_district,,
石川大我,いしかわたいが,参議院,立憲民主・社民,,7,2020-06-03,2024-06-06,石川大我,全国,比例区,ok,wikipedia,
田村まみ,たむらまみ,参議院,国民民主党・新緑風会,,7,2023-05-16,2024-06-04,田村麻美,全国,比例区,ok,wikipedia,
金子恵美,かねこえみ,衆議院,立憲民主党・無所属フォーラム,,7,2015-04-22,2024-04-09,金子恵美,,,no_district,,
保岡宏武,やすおかひろたけ,衆議院,自由民主党・無所属の会,,7,2023-02-20,2024-02-28,保岡宏武,全国,比例区,ok,wikipedia,
吉良よし子,きらよしこ,参議院,日本共産党,,7,2019-04-04,2023-05-25,吉良佳子 (政治家),東京都,,ok,wikipedia,
あべ俊子,あべとしこ,衆議院,自由民主党・無所属の会,農林水産副大臣,7,2015-03-10,2023-04-19,阿部俊子,全国,比例区,ok,wikipedia,
後藤茂之,ごとうしげゆき,参議院,自由民主党,厚生労働大臣,7,2022-02-25,2022-06-13,後藤茂之,長野県,第4区,ok,wikipedia,
青木愛,あおきあい,参議院,立憲民主・社民,,7,2017-06-01,2022-03-02,青木愛,,,no_district,,
野上浩太郎,のがみこうたろう,参議院,自由民主党・国民の声,農林水産大臣,7,2018-06-26,2021-04-21,野上浩太郎,富山県,,ok,wikipedia,
井上一徳,いのうえかずのり,衆議院,希望の党,,7,2018-06-12,2020-05-22,井上一徳,全国,比例区,ok,wikipedia,
江藤拓,えとうたく,参議院,自由民主党・無所属の会,農林水産大臣,7,2020-03-24,2020-05-12,江藤拓,全国,比例区,ok,wikipedia,
赤羽一嘉,あかばかずよし,参議院,公明党,国土交通大臣,7,2019-10-23,2021-06-03,赤羽一嘉,全国,比例区,ok,wikipedia,
高鳥修一,たかとりしゅういち,参議院,自由民主党,農林水産副大臣,7,2013-11-28,2019-05-21,高鳥修一,新潟県,第5区,ok,wikipedia,
黄川田仁志,きかわだひとし,衆議院,自由民主党,,7,2019-04-24,2019-04-24,黄川田仁志,埼玉県,第3区,ok,wikipedia,
山田雅彦,,衆議院,,厚生労働省大臣官房審議官,7,2018-11-21,2019-04-23,山田雅彦,,,no_district,,
新妻秀規,にいづまひでき,参議院,公明党,,7,2018-12-06,2019-04-22,新妻秀規,全国,比例区,ok,wikipedia,
藤田幸久,ふじたゆきひさ,参議院,国民民主党・新緑風会,,7,2016-05-20,2019-03-12,藤田幸久,茨城県,,ok,wikipedia,
大野元裕,おおのもとひろ,参議院,国民民主党・新緑風会,,7,2018-03-23,2019-03-22,大野元裕,埼玉県,,ok,wikipedia,
金子修,,衆議院,,法務省大臣官房政策立案総括審議官,7,2018-11-14,2018-12-05,金子修,,,no_district,,
青山繁晴,あおやましげはる,参議院,自由民主党,,7,2018-12-04,2024-04-12,青山繁晴,兵庫県,第8区,ok,wikipedia,
宮武宜史,,参議院,,国土交通大臣官房技術審議官,7,2018-11-21,2019-04-16,宮武宜史,,,no_district,,
土屋喜久,,参議院,,厚生労働大臣官房審議官,7,2016-11-01,2017-04-13,土屋喜久,,,no_district,,
宮川学,,参議院,,外務大臣官房審議官,7,2016-04-19,2016-11-17,宮川学,,,no_district,,
中泉松司,なかいずみまつじ,参議院,自由民主党,,7,2016-11-01,2016-11-01,中泉松司,秋田県,,ok,wikipedia,
今野智博,こんのともひろ,衆議院,自由民主党,,7,2016-04-27,2016-04-27,今野智博,全国,比例区,ok,wikipedia,
井坂信彦,いさかのぶひこ,衆議院,民進党・無所属クラブ,,7,2014-06-06,2023-04-19,井坂信彦,兵庫県,第1区,ok,wikipedia,
松島みどり,まつしまみどり,衆議院,自由民主党・無所属の会,法務大臣,7,2014-10-10,2020-09-18,松島みどり,東京都,第14区,ok,wikipedia,
清水真人,しみずまさと,参議院,自由民主党・国民の声,,7,2020-02-19,2024-05-23,清水真人,群馬県,,ok,wikipedia,
安藤裕,あんどうひろし,衆議院,自由民主党,,7,2014-05-28,2019-10-23,安藤裕,,,no_district,,
小林正夫,こばやしまさお,参議院,国民民主党・新緑風会,,7,2013-10-15,2020-06-03,小林正夫,全国,比例区,ok,wikipedia,
長尾秀樹,ながおひでき,衆議院,立憲民主党・市民クラブ,,7,2018-02-22,2018-06-05,長尾秀樹,全国,比例区,ok,wikipedia,
高木毅,たかぎつよし,衆議院,自由民主党・無所属の会,,7,2019-12-09,2021-06-16,高木毅,福井県,第2区,ok,wikipedia,
前川清成,まえかわきよしげ,参議院,民主党・新緑風会,,7,2014-06-10,2014-06-12,前川清成,全国,比例区,ok,wikipedia,
赤澤亮正,あかざわりょうせい,衆議院,自由民主党,内閣府特命担当大臣（経済財政政策）,6,2019-01-23,2024-12-19,赤沢亮正,鳥取県,第2区,ok,wikipedia,
青柳仁士,あおやぎひとし,衆議院,日本維新の会・教育無償化を実現する会,,6,2023-02-13,2024-05-17,青柳仁士,大阪府,第14区,ok,wikipedia,
山本左近,やまもとさこん,衆議院,自由民主党・無所属の会,,6,2024-05-08,2024-05-08,山本左近,全国,比例区,ok,wikipedia,
橋本真吾,,衆議院,,経済産業省大臣官房審議官,6,2024-04-24,2024-05-29,橋本真吾,,,no_district,,
泉健太,いずみけんた,衆議院,立憲民主党・無所属,,6,2015-07-01,2023-10-24,泉健太,京都府,第3区,ok,wikipedia,
三谷英弘,みたにひでひろ,衆議院,自由民主党・無所属の会,,6,2023-04-26,2023-04-26,三谷英弘,神奈川県,第8区,ok,wikipedia,
福田昭夫,ふくだあきお,衆議院,立憲民主党・無所属,,6,2015-05-29,2023-04-24,福田昭夫,栃木2区,,ok,wikipedia,
中野洋昌,なかのひろまさ,衆議院,公明党,国土交通大臣,6,2018-11-16,2024-12-11,中野洋昌,全国,比例区,ok,wikipedia,
伊藤俊輔,いとうしゅんすけ,衆議院,立憲民主党・無所属,,6,2021-02-26,2021-02-26,伊藤俊輔,,,no_district,,
吉良州司,きらしゅうじ,衆議院,国民民主党・無所属クラブ,,6,2018-11-14,2024-02-28,吉良州司,大分1区,,ok,wikipedia,
豊田俊郎,とよだとしろう,参議院,自由民主党・国民の声,,6,2016-04-05,2020-11-17,豊田俊郎,千葉県,,ok,wikipedia,
紙智子,かみともこ,参議院,日本共産党,,6,2018-11-15,2024-06-13,紙智子,全国,比例区,ok,wikipedia,
田島麻衣子,たじままいこ,参議院,立憲・国民．新緑風会・社民,,6,2020-03-24,2020-06-04,田島麻衣子,愛知県,,ok,wikipedia,
羽生田俊,はにゅうだたかし,参議院,自由民主党・こころ,,6,2016-11-08,2019-11-07,羽生田俊,全国,比例区,ok,wikipedia,
河井克行,かわいかつゆき,衆議院,自由民主党・無所属の会,法務大臣,6,2019-10-18,2019-10-24,河井克行,広島3区,,ok,wikipedia,
大内聡,,参議院,,経済産業大臣官房審議官,6,2018-11-27,2019-05-14,大内聡,,,no_district,,
石原宏高,いしはらひろたか,衆議院,自由民主党,内閣府副大臣,6,2016-10-25,2019-03-26,石原宏高,東京3区,,ok,wikipedia,
早稲田夕季,わせだゆき,衆議院,立憲民主党・無所属フォーラム,,6,2019-02-05,2019-02-14,早稲田夕季,全国,比例区,ok,wikipedia,
大島九州男,おおしまくすお,参議院,国民民主党・新緑風会,,6,2016-03-16,2019-03-19,大島九州男,全国,比例区,ok,wikipedia,
長妻昭,ながつまあきら,衆議院,立憲民主党・市民クラブ,,6,2018-11-01,2018-11-01,長妻昭,全国,比例区,ok,wikipedia,
中西健治,なかにしけんじ,参議院,自由民主党・こころ,,6,2015-08-04,2018-04-05,中西健治,神奈川県,第3区,ok,wikipedia,
椎木保,しいきたもつ,衆議院,おおさか維新の会,,6,2016-04-25,2017-04-21,椎木保,全国,比例区,ok,wikipedia,
山本有二,やまもとゆうじ,衆議院,自由民主党・無所属の会,農林水産大臣,6,2017-03-08,2017-06-01,山本有二,全国,比例区,ok,wikipedia,
牧野たかお,まきのたかお,参議院,自由民主党,,6,2016-11-08,2016-11-08,牧野京夫,静岡県,,ok,wikipedia,
鈴木淳司,すずきじゅんじ,衆議院,自由民主党・無所属の会,,6,2016-10-21,2016-10-25,鈴木淳司,全国,比例区,ok,wikipedia,
牧義夫,まきよしお,衆議院,維新の党,厚生労働副大臣,6,2012-03-07,2015-09-11,牧義夫,愛知県,第4区,ok,wikipedia,
加藤鮎子,かとうあゆこ,衆議院,自由民主党,,6,2018-11-09,2023-04-24,加藤鮎子,山形県,第3区,ok,wikipedia,
田名部匡代,たなぶまさよ,参議院,国民民主党・新緑風会,,6,2018-03-22,2019-05-23,田名部匡代,青森県,,ok,wikipedia,
高瀬弘美,たかせひろみ,参議院,公明党,,6,2018-11-20,2021-06-03,高瀬弘美,福岡県,,ok,wikipedia,
本多則惠,,参議院,,厚生労働省大臣官房審議官,6,2018-12-04,2023-04-25,本多則惠,,,no_district,,
山谷えり子,やまたにえりこ,参議院,自由民主党,国家公安委員会委員長・内閣府特命担当大臣（防災）,6,2013-11-20,2014-11-17,山谷えり子,全国,比例区,ok,wikipedia,
柴田巧,しばたたくみ,参議院,日本維新の会・教育無償化を実現する会,,6,2015-04-22,2024-05-10,柴田巧,全国,比例区,ok,wikipedia,
沢田良,さわだりょう,衆議院,日本維新の会,,6,2022-10-26,2023-05-16,沢田良,全国,比例区,ok,wikipedia,
鈴木宗男,すずきむねお,参議院,日本維新の会,,6,2021-05-25,2023-06-01,鈴木宗男,全国,比例区,ok,wikipedia,
屋良朝博,やらともひろ,衆議院,立憲民主党・無所属,,6,2021-04-16,2021-05-07,屋良朝博,全国,比例区,ok,wikipedia,
石田祝稔,いしだのりとし,衆議院,公明党,,6,2018-11-01,2021-04-08,石田祝稔,全国,比例区,ok,wikipedia,
石田真敏,いしだまさとし,衆議院,自由民主党,総務大臣・内閣府特命担当大臣（マイナンバー制度）,6,2018-11-07,2019-03-22,石田真敏,全国,比例区,ok,wikipedia,
荒木清寛,あらききよひろ,参議院,公明党,,6,2014-06-05,2014-06-11,荒木清寛,全国,比例区,ok,wikipedia,
滝実,たきまこと,衆議院,民主党・無所属クラブ,法務大臣,6,2012-03-02,2012-11-13,滝実,奈良2区,,ok,wikipedia,
野田聖子,のだせいこ,衆議院,自由民主党,総務大臣・内閣府特命担当大臣（男女共同参画・マイナンバー制度）,6,2012-03-07,2022-05-11,野田聖子,| 当選回数3 =,,ok,wikipedia,
額賀福志郎,ぬかがふくしろう,衆議院,無所属,議長,5,2024-04-16,2024-05-21,額賀福志郎,,,no_district,,
山越伸子,,衆議院,,総務省大臣官房総括審議官,5,2022-11-02,2024-04-24,山越伸子,,,no_district,,
窪田哲也,くぼたてつや,参議院,公明党,,5,2023-03-13,2024-04-08,窪田哲也,全国,比例区,ok,wikipedia,
小山展弘,こやまのぶひろ,衆議院,民進党・無所属クラブ,,5,2017-03-08,2024-03-13,小山展弘,静岡県,第3区,ok,wikipedia,
湯原俊二,ゆはらしゅんじ,衆議院,立憲民主党・無所属,,5,2024-03-02,2024-03-02,湯原俊二,全国,比例区,ok,wikipedia,
古賀之士,こがゆきひと,参議院,立憲民主・社民,,5,2023-10-26,2024-04-12,古賀ゆきひと,福岡県,,ok,wikipedia,
宮下一郎,みやしたいちろう,衆議院,自由民主党,農林水産大臣,5,2019-02-04,2023-11-09,宮下一郎,長野県,第5区,ok,wikipedia,
高見康裕,たかみやすひろ,衆議院,自由民主党・無所属の会,法務大臣政務官,5,2022-11-02,2023-06-15,高見康裕,島根県,第2区,ok,wikipedia,
一谷勇一郎,いちたにゆういちろう,衆議院,日本維新の会,,5,2023-04-19,2024-04-10,一谷勇一郎,全国,比例区,ok,wikipedia,
近藤和也,こんどうかずや,衆議院,立憲民主党・無所属,,5,2020-03-24,2022-10-27,近藤和也,全国,比例区,ok,wikipedia,
小宮山泰子,こみやまやすこ,衆議院,国民民主党・無所属クラブ,,5,2019-02-27,2021-05-12,小宮山泰子,埼玉7区,,ok,wikipedia,
岩渕友,いわぶちとも,参議院,日本共産党,,5,2020-02-19,2021-05-12,岩渕友,全国,比例区,ok,wikipedia,
山田修路,やまだしゅうじ,参議院,自由民主党,,5,2016-03-31,2020-04-14,山田修路,石川県,,ok,wikipedia,
池田真紀,いけだまき,衆議院,立憲民主党・市民クラブ,,5,2018-11-14,2021-04-20,池田真紀,,,no_district,,
岡田広,おかだひろし,参議院,自由民主党・国民の声,,5,2017-03-09,2020-01-23,岡田広,茨城県,,ok,wikipedia,
高野光二郎,たかのこうじろう,衆議院,自由民主党・国民の声,農林水産大臣政務官,5,2017-05-31,2020-03-26,高野光二郎,徳島県・高知県,,ok,wikipedia,
白眞勲,はくしんくん,参議院,立憲民主党・民友会,,5,2018-04-17,2020-06-12,白眞勲,全国,比例区,ok,wikipedia,
長尾敬,ながおたかし,衆議院,自由民主党,,5,2015-05-22,2018-06-01,長尾敬,大阪14区,,ok,wikipedia,
こやり隆史,こやりたかし,参議院,自由民主党・こころ,国土交通大臣政務官,5,2018-03-15,2024-06-04,小鑓隆史,滋賀県,,ok,wikipedia,
佐々木隆博,ささきたかひろ,衆議院,民進党・無所属クラブ,,5,2016-11-01,2019-04-18,佐々木隆博,北海道,第6区,ok,wikipedia,
諏訪園健司,,衆議院,,厚生労働省大臣官房審議官,5,2017-02-22,2019-03-26,諏訪園健司,,,no_district,,
高階恵美子,たかがいえみこ,参議院,自由民主党,厚生労働大臣政務官,5,2014-10-17,2019-05-07,髙階恵美子,島根県,第1区,ok,wikipedia,
柏倉祐司,かしわくらゆうじ,衆議院,みんなの党,,5,2014-04-04,2014-11-07,柏倉祐司,栃木1区,,ok,wikipedia,
郡司彰,ぐんじあきら,参議院,民主党・新緑風会,,5,2014-05-20,2020-12-01,郡司彰,茨城県,,ok,wikipedia,
麻生太郎,あそうたろう,参議院,自由民主党,財務大臣・内閣府特命担当大臣（金融）,5,2013-11-28,2019-11-07,麻生太郎,,,no_district,,
渡辺周,わたなべしゅう,衆議院,民進党・無所属クラブ,,5,2017-05-31,2024-05-16,渡辺周,{{Plainlist|,,ok,wikipedia,
細田博之,ほそだひろゆき,衆議院,無所属,議長,5,2016-04-27,2023-05-09,細田博之,,,no_district,,
木内孝胤,きうちたかたね,衆議院,民主・維新・無所属クラブ,,5,2015-05-15,2016-02-23,木内孝胤,全国,比例区,ok,wikipedia,
松本剛明,まつもとたけあき,衆議院,自由民主党・無所属の会,総務大臣,5,2014-05-14,2024-04-23,松本剛明,兵庫県,第11区,ok,wikipedia,
樋口尚也,ひぐちなおや,衆議院,公明党,,5,2016-02-25,2016-02-25,樋口尚也,全国,比例区,ok,wikipedia,
国光あやの,くにみつあやの,衆議院,自由民主党,,5,2018-02-26,2022-02-17,国光文乃,茨城6区,,ok,wikipedia,
山田賢司,やまだけんじ,衆議院,自由民主党・無所属の会,外務大臣政務官,5,2017-02-22,2018-11-14,山田賢司,兵庫県,第7区,ok,wikipedia,
宮地毅,,衆議院,,総務省大臣官房総括審議官,5,2018-06-05,2019-04-23,宮地毅,,,no_district,,
アントニオ猪木,あんとにおいのき,参議院,日本維新の会・結いの党,,5,2014-05-13,2017-06-15,アントニオ猪木,全国,比例区,ok,wikipedia,
稲田朋美,いなだともみ,衆議院,自由民主党・無所属の会,,4,2018-10-29,2024-05-15,稲田朋美,福井県,第1区,ok,wikipedia,
勝目康,かつめやすし,衆議院,自由民主党・無所属の会,,4,2024-04-17,2024-05-10,勝目康,京都府,第1区,ok,wikipedia,
寺田学,てらたまなぶ,衆議院,立憲民主党・無所属,,4,2021-04-23,2024-05-08,寺田学,全国,比例区,ok,wikipedia,
永岡桂子,ながおかけいこ,参議院,自由民主党・無所属の会,文部科学大臣,4,2015-04-07,2023-05-25,永岡桂子,全国,比例区,ok,wikipedia,
市村浩一郎,いちむらこういちろう,衆議院,日本維新の会,,4,2022-04-22,2023-04-24,市村浩一郎,全国,比例区,ok,wikipedia,
野間健,のまたけし,衆議院,立憲民主党・無所属,,4,2022-04-20,2022-04-20,野間健,鹿児島県,第3区,ok,wikipedia,
山際大志郎,やまぎわだいしろう,衆議院,自由民主党,内閣府特命担当大臣（経済財政政策）,4,2022-01-07,2022-03-04,山際大志郎,神奈川18区,,ok,wikipedia,
伊佐進一,いさしんいち,衆議院,公明党,,4,2017-04-19,2022-02-18,伊佐進一,全国,比例区,ok,wikipedia,
斉木武志,さいきたけし,衆議院,立憲民主党・無所属,,4,2021-05-14,2021-06-09,斉木武志,福井県,第2区,ok,wikipedia,
石垣のりこ,いしがきのりこ,参議院,立憲民主・社民,,4,2020-02-19,2023-03-17,石垣のりこ,宮城県,,ok,wikipedia,
磯崎仁彦,いそざきよしひこ,参議院,自由民主党・国民の声,経済産業副大臣・内閣府副大臣,4,2019-04-10,2021-04-27,磯﨑仁彦,香川県,,ok,wikipedia,
中谷真一,なかたにしんいち,衆議院,自由民主党・無所属の会,,4,2016-02-25,2021-02-26,中谷真一,山梨1区,,ok,wikipedia,
下野六太,しものろくた,参議院,公明党,,4,2020-06-16,2021-02-17,下野六太,福岡県,,ok,wikipedia,
難波奨二,なんばしょうじ,参議院,立憲・国民．新緑風会・社民,,4,2014-06-03,2020-04-27,難波奨二,全国,比例区,ok,wikipedia,
長浜博行,ながはまひろゆき,参議院,立憲・国民．新緑風会・社民,,4,2018-03-22,2020-04-02,長浜博行,千葉県,,ok,wikipedia,
玄葉光一郎,げんばこういちろう,衆議院,立憲民主・国民・社保・無所属フォーラム,外務大臣,4,2012-08-20,2020-03-06,玄葉光一郎,,,no_district,,
木村哲也,きむらてつや,衆議院,自由民主党・無所属の会,,4,2019-06-05,2020-02-25,木村哲也,,,no_district,,
渡邊厚夫,,参議院,,農林水産大臣官房輸出促進審議官,4,2018-11-27,2019-04-24,渡邊厚夫,,,no_district,,
伊波洋一,いはよういち,参議院,沖縄の風,,4,2019-01-24,2019-01-24,伊波洋一,沖縄県,,ok,wikipedia,
山下芳生,やましたよしき,参議院,日本共産党,,4,2014-05-27,2020-05-28,山下芳生,全国,比例区,ok,wikipedia,
伊藤渉,いとうわたる,衆議院,公明党,,4,2014-05-16,2018-11-26,伊藤渉,全国,比例区,ok,wikipedia,
浦野靖人,うらのやすと,衆議院,日本維新の会,,4,2014-06-18,2019-04-24,浦野靖人,大阪15区,,ok,wikipedia,
繁本護,しげもとまもる,衆議院,自由民主党,,4,2018-11-14,2018-11-14,繁本護,京都府,第3区,ok,wikipedia,
佐藤英道,さとうひでみち,衆議院,公明党,,4,2014-05-23,2018-06-07,佐藤英道,全国,比例区,ok,wikipedia,
若松謙維,わかまつかねしげ,参議院,公明党,,4,2018-03-22,2018-05-15,若松謙維,全国,比例区,ok,wikipedia,
そのだ修光,そのだしゅうこう,参議院,自由民主党・こころ,,4,2016-11-17,2017-05-25,そのだ修光,,,no_district,,
桝屋敬悟,ますやけいご,衆議院,公明党,厚生労働副大臣,4,2013-03-13,2017-04-21,桝屋敬悟,全国,比例区,ok,wikipedia,
藤澤勝博,,衆議院,,厚生労働省大臣官房審議官,4,2016-10-21,2016-10-21,藤澤勝博,,,no_district,,
石関貴史,いしぜきたかし,衆議院,民主・維新・無所属クラブ,,4,2016-02-25,2016-02-25,石関貴史,全国,比例区,ok,wikipedia,
奥野信亮,おくのしんすけ,衆議院,自由民主党,法務副大臣,4,2014-02-18,2015-09-25,奥野信亮,全国,比例区,ok,wikipedia,
江崎鐵磨,えさきてつま,衆議院,自由民主党,,4,2014-05-23,2014-06-20,江﨑鐵磨,愛知県,第10区,ok,wikipedia,
瀬戸隆一,せとたかかず,衆議院,自由民主党,,4,2013-06-13,2014-02-26,瀬戸隆一,全国,比例区,ok,wikipedia,
古川元久,ふるかわもとひさ,衆議院,民主党・無所属クラブ,,4,2014-02-13,2024-05-22,古川元久,愛知県,第2区,ok,wikipedia,
内田俊彦,,衆議院,,厚生労働省大臣官房審議官,4,2013-03-21,2013-03-21,内田俊彦,,,no_district,,
森屋隆,もりやたかし,参議院,立憲民主・社民,,4,2021-05-11,2024-06-06,森屋隆,全国,比例区,ok,wikipedia,
金子容三,かねこようぞう,衆議院,自由民主党・無所属の会,,4,2024-02-27,2024-05-13,金子容三,長崎県,第3区,ok,wikipedia,
神谷裕,かみやひろし,衆議院,立憲民主党・無所属,,4,2022-03-02,2024-04-25,神谷裕,北海道,第10区,ok,wikipedia,
竹内真二,たけうちしんじ,参議院,公明党,,4,2020-02-19,2023-05-25,竹内真二,全国,比例区,ok,wikipedia,
中谷一馬,なかたにかずま,衆議院,立憲民主党・無所属,,4,2019-11-06,2021-04-23,中谷一馬,神奈川県,第7区,ok,wikipedia,
関健一郎,せきけんいちろう,衆議院,国民民主党・無所属クラブ,,4,2019-02-27,2019-02-27,関健一郎,全国,比例区,ok,wikipedia,
藤巻健史,ふじまきたけし,参議院,日本維新の会,,4,2017-01-31,2018-11-26,藤巻健史,全国,比例区,ok,wikipedia,
松沢成文,まつざわしげふみ,参議院,希望の党,,4,2018-11-15,2023-11-30,松沢成文,神奈川県,,ok,wikipedia,
藤末健三,ふじすえけんぞう,参議院,民主党・新緑風会,,4,2014-06-05,2022-03-16,藤末健三,全国,比例区,ok,wikipedia,
馬場成志,ばばせいし,参議院,自由民主党・国民の声,総務副大臣,4,2022-04-28,2024-04-05,馬場成志,熊本県,,ok,wikipedia,
城内実,きうちみのる,衆議院,自由民主党,,4,2022-03-04,2022-04-20,城内実,静岡県,第7区,ok,wikipedia,
梶山弘志,かじやまひろし,参議院,自由民主党・無所属の会,経済産業大臣・内閣府特命担当大臣（原子力損害賠償・廃炉等支援機構）,4,2018-05-11,2021-06-03,梶山弘志,茨城県,第4区,ok,wikipedia,
松本文明,まつもとふみあき,衆議院,自由民主党・無所属の会,,4,2019-12-09,2020-09-18,松本文明,全国,比例区,ok,wikipedia,
小川淳也,おがわじゅんや,衆議院,立憲民主党・無所属,,4,2013-11-13,2024-06-18,小川淳也,香川1区,,ok,wikipedia,
志野光子,,衆議院,,外務省大臣官房審議官,4,2019-03-13,2019-05-15,志野光子,,,no_district,,
河野義博,かわのよしひろ,参議院,公明党,,4,2023-11-09,2024-12-19,河野義博,,,no_district,,
古屋圭司,ふるやけいじ,衆議院,自由民主党,国家公安委員会委員長・内閣府特命担当大臣（防災）,4,2014-05-27,2014-06-18,古屋圭司,岐阜県,第5区,ok,wikipedia,
北村経夫,きたむらつねお,参議院,自由民主党,,3,2024-05-28,2024-05-28,北村経夫,山口県,,ok,wikipedia,
神津たけし,こうづたけし,衆議院,立憲民主党・無所属,,3,2023-04-24,2024-05-13,神津健,長野県,第3区,ok,wikipedia,
堂故茂,どうこしげる,衆議院,自由民主党,国土交通副大臣・内閣府副大臣・復興副大臣,3,2023-11-15,2024-05-08,堂故茂,富山県,,ok,wikipedia,
武村展英,たけむらのぶひで,衆議院,自由民主党・無所属の会,農林水産副大臣,3,2024-05-08,2024-05-29,武村展英,滋賀県,第3区,ok,wikipedia,
山口那津男,やまぐちなつお,参議院,公明党,,3,2018-10-31,2023-10-26,山口那津男,東京都,,ok,wikipedia,
中条きよし,なかじょうきよし,参議院,日本維新の会,,3,2023-04-26,2023-05-25,中条きよし,全国,比例区,ok,wikipedia,
熊谷裕人,くまがいひろと,参議院,立憲民主・社民,,3,2021-03-10,2023-05-25,熊谷裕人,埼玉県,,ok,wikipedia,
長友慎治,ながともしんじ,衆議院,国民民主党・無所属クラブ,,3,2023-04-27,2024-04-19,長友慎治,宮崎県,第2区,ok,wikipedia,
仁木博文,にきひろぶみ,衆議院,有志の会,,3,2022-02-15,2023-04-19,仁木博文,徳島県,第1区,ok,wikipedia,
篠原孝,しのはらたかし,衆議院,立憲民主党・無所属,,3,2015-06-05,2023-03-29,篠原孝,長野1区,,ok,wikipedia,
加藤竜祥,かとうりゅうしょう,衆議院,自由民主党,,3,2022-11-02,2022-11-02,加藤竜祥,長崎県,第2区,ok,wikipedia,
